TRAINING RESULTS
==================================================

Final Metrics:
  Final Train Loss:     0.3956
  Final Val Loss:       0.5796
  Final Train IoU:      0.5526
  Final Val IoU:        0.4785
  Final Train Dice:     0.6747
  Final Val Dice:       0.6421
  Final Train Accuracy: 0.8323
  Final Val Accuracy:   0.8343
==================================================

Best Results:
  Best Val IoU:      0.4785 (Epoch 74)
  Best Val Dice:     0.6447 (Epoch 70)
  Best Val Accuracy: 0.8359 (Epoch 70)
  Lowest Val Loss:   0.5787 (Epoch 70)
==================================================

Per-Epoch History:
----------------------------------------------------------------------------------------------------
Epoch    Train Loss   Val Loss     Train IoU    Val IoU      Train Dice   Val Dice     Train Acc    Val Acc     
----------------------------------------------------------------------------------------------------
1        1.4182       1.4122       0.0698       0.0782       0.1053       0.2367       0.2887       0.3241      
2        1.0318       0.8888       0.2317       0.2300       0.3006       0.3611       0.5838       0.6447      
3        0.8459       0.8483       0.3003       0.2463       0.3792       0.3746       0.6626       0.6813      
4        0.8050       0.8421       0.3197       0.2577       0.3973       0.3880       0.6963       0.6975      
5        0.7956       0.8124       0.3500       0.2878       0.4320       0.4192       0.7423       0.7631      
6        0.7825       0.8141       0.3431       0.3033       0.4258       0.4495       0.7331       0.7679      
7        0.7575       0.7948       0.3617       0.2900       0.4405       0.4216       0.7518       0.7619      
8        0.7227       0.7827       0.3701       0.3002       0.4485       0.4272       0.7631       0.7788      
9        0.6988       0.7720       0.3702       0.3097       0.4526       0.4359       0.7594       0.7797      
10       0.6866       0.7637       0.3961       0.3153       0.4867       0.4426       0.7682       0.7777      
11       0.6622       0.7467       0.4082       0.3292       0.4983       0.4611       0.7841       0.7958      
12       0.6389       0.7474       0.4175       0.3270       0.5142       0.4661       0.7784       0.7841      
13       0.6059       0.7245       0.4241       0.3458       0.5221       0.4747       0.7839       0.8025      
14       0.5895       0.7303       0.4249       0.3384       0.5259       0.4745       0.7768       0.7900      
15       0.5865       0.7283       0.4351       0.3433       0.5359       0.4783       0.7864       0.7968      
16       0.5642       0.7213       0.4402       0.3475       0.5448       0.4851       0.7850       0.7939      
17       0.5605       0.7055       0.4512       0.3598       0.5549       0.5004       0.7973       0.8039      
18       0.5602       0.7012       0.4463       0.3580       0.5546       0.5102       0.7840       0.7857      
19       0.5508       0.7021       0.4509       0.3619       0.5571       0.5082       0.7883       0.7914      
20       0.5431       0.6900       0.4550       0.3685       0.5602       0.5142       0.7962       0.7980      
21       0.5364       0.6865       0.4680       0.3782       0.5764       0.5304       0.7975       0.8016      
22       0.5167       0.6646       0.4756       0.3890       0.5838       0.5365       0.8056       0.8092      
23       0.5210       0.6658       0.4720       0.3863       0.5793       0.5356       0.8015       0.8049      
24       0.5187       0.6653       0.4699       0.3968       0.5758       0.5522       0.8028       0.8096      
25       0.5169       0.6829       0.4598       0.3758       0.5707       0.5266       0.7865       0.7892      
26       0.4992       0.6875       0.4659       0.3813       0.5732       0.5282       0.8006       0.8026      
27       0.5016       0.6690       0.4776       0.3882       0.5855       0.5342       0.8106       0.8131      
28       0.4916       0.6579       0.4793       0.3957       0.5904       0.5448       0.8069       0.8099      
29       0.4935       0.6544       0.4845       0.3942       0.5921       0.5381       0.8126       0.8167      
30       0.4883       0.6447       0.4903       0.4098       0.6021       0.5647       0.8090       0.8131      
31       0.4830       0.6582       0.4919       0.4099       0.6058       0.5705       0.8071       0.8066      
32       0.4767       0.6496       0.4917       0.4039       0.6066       0.5520       0.8036       0.8056      
33       0.4870       0.6442       0.5008       0.4237       0.6153       0.5814       0.8132       0.8186      
34       0.4759       0.6441       0.5024       0.4172       0.6180       0.5696       0.8121       0.8179      
35       0.4697       0.6437       0.5012       0.4109       0.6185       0.5666       0.8115       0.8127      
36       0.4672       0.6339       0.5025       0.4143       0.6206       0.5672       0.8025       0.8056      
37       0.4743       0.6282       0.5062       0.4317       0.6228       0.5916       0.8137       0.8187      
38       0.4589       0.6330       0.5029       0.4241       0.6216       0.5841       0.8138       0.8141      
39       0.4713       0.6242       0.5150       0.4331       0.6345       0.5934       0.8117       0.8141      
40       0.4546       0.6305       0.5092       0.4278       0.6262       0.5831       0.8149       0.8200      
41       0.4597       0.6207       0.5207       0.4371       0.6390       0.5946       0.8202       0.8218      
42       0.4483       0.6252       0.5191       0.4308       0.6379       0.5838       0.8207       0.8236      
43       0.4513       0.6260       0.5117       0.4272       0.6341       0.5868       0.8110       0.8128      
44       0.4486       0.6208       0.5151       0.4358       0.6354       0.5982       0.8130       0.8133      
45       0.4418       0.6194       0.5132       0.4359       0.6339       0.5969       0.8129       0.8146      
