TRAINING RESULTS
==================================================

Final Metrics:
  Final Train Loss:     0.4533
  Final Val Loss:       0.6453
  Final Train IoU:      0.5099
  Final Val IoU:        0.4121
  Final Train Dice:     0.6275
  Final Val Dice:       0.5643
  Final Train Accuracy: 0.8168
  Final Val Accuracy:   0.8155
==================================================

Best Results:
  Best Val IoU:      0.4121 (Epoch 78)
  Best Val Dice:     0.5675 (Epoch 75)
  Best Val Accuracy: 0.8155 (Epoch 78)
  Lowest Val Loss:   0.6408 (Epoch 77)
==================================================

Per-Epoch History:
----------------------------------------------------------------------------------------------------
Epoch    Train Loss   Val Loss     Train IoU    Val IoU      Train Dice   Val Dice     Train Acc    Val Acc     
----------------------------------------------------------------------------------------------------
1        1.4702       1.4218       0.0377       0.0278       0.0684       0.0508       0.1141       0.0863      
2        1.1078       0.9692       0.2350       0.1942       0.3148       0.3141       0.5869       0.6025      
3        0.9018       0.8741       0.3237       0.2579       0.4082       0.3935       0.7125       0.7212      
4        0.8017       0.8552       0.3337       0.2588       0.4154       0.3921       0.7292       0.7372      
5        0.7654       0.8236       0.3535       0.2809       0.4337       0.4162       0.7425       0.7498      
6        0.7446       0.8163       0.3614       0.2885       0.4419       0.4235       0.7583       0.7697      
7        0.7129       0.7969       0.3697       0.3042       0.4488       0.4365       0.7710       0.7828      
8        0.7023       0.7928       0.3843       0.3093       0.4619       0.4403       0.7855       0.7908      
9        0.6963       0.7782       0.3847       0.3104       0.4611       0.4400       0.7847       0.7936      
10       0.6781       0.7797       0.3892       0.3134       0.4699       0.4483       0.7781       0.7880      
11       0.6640       0.7641       0.4028       0.3177       0.4920       0.4502       0.7795       0.7864      
12       0.6367       0.7662       0.4021       0.3165       0.4958       0.4476       0.7718       0.7830      
13       0.6228       0.7598       0.4097       0.3140       0.5047       0.4330       0.7802       0.7886      
14       0.6036       0.7504       0.4151       0.3212       0.5103       0.4574       0.7819       0.7863      
15       0.5980       0.7355       0.4261       0.3332       0.5214       0.4715       0.7889       0.7912      
16       0.5892       0.7432       0.4197       0.3346       0.5150       0.4737       0.7885       0.7947      
17       0.5789       0.7283       0.4238       0.3381       0.5222       0.4728       0.7855       0.7977      
18       0.5788       0.7312       0.4316       0.3372       0.5320       0.4781       0.7895       0.7928      
19       0.5666       0.7227       0.4391       0.3418       0.5414       0.4807       0.7909       0.7933      
20       0.5662       0.7248       0.4414       0.3487       0.5424       0.4899       0.7917       0.7998      
21       0.5597       0.7195       0.4365       0.3456       0.5394       0.4940       0.7858       0.7903      
22       0.5585       0.7121       0.4507       0.3482       0.5571       0.4922       0.7875       0.7885      
23       0.5412       0.7119       0.4362       0.3387       0.5386       0.4769       0.7863       0.7879      
24       0.5406       0.7022       0.4515       0.3595       0.5566       0.5090       0.7963       0.7998      
25       0.5393       0.7050       0.4395       0.3518       0.5435       0.4956       0.7899       0.7959      
26       0.5320       0.7015       0.4545       0.3613       0.5596       0.5084       0.7962       0.7994      
27       0.5293       0.7010       0.4524       0.3552       0.5573       0.5012       0.7936       0.7960      
28       0.5335       0.7028       0.4531       0.3564       0.5595       0.5033       0.7978       0.7984      
29       0.5329       0.6977       0.4547       0.3600       0.5645       0.5113       0.7896       0.7892      
30       0.5203       0.6907       0.4595       0.3629       0.5671       0.5127       0.7946       0.7930      
31       0.5182       0.6881       0.4608       0.3704       0.5687       0.5204       0.7958       0.7993      
32       0.5103       0.6879       0.4619       0.3718       0.5674       0.5211       0.8026       0.8066      
33       0.5139       0.6937       0.4584       0.3646       0.5643       0.5095       0.7973       0.8003      
34       0.5171       0.6851       0.4651       0.3715       0.5736       0.5226       0.8011       0.8040      
35       0.5110       0.6902       0.4608       0.3660       0.5690       0.5172       0.7967       0.7987      
36       0.5036       0.6828       0.4749       0.3756       0.5843       0.5272       0.8012       0.8006      
37       0.5048       0.6808       0.4737       0.3712       0.5835       0.5237       0.8012       0.7990      
38       0.5083       0.6738       0.4737       0.3780       0.5845       0.5286       0.7990       0.8007      
39       0.5016       0.6774       0.4688       0.3747       0.5785       0.5226       0.7995       0.8004      
40       0.4995       0.6694       0.4796       0.3846       0.5879       0.5338       0.8071       0.8097      
41       0.4923       0.6760       0.4787       0.3841       0.5843       0.5330       0.8123       0.8136      
